Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Peshastin Creek Lower 08,Wenatchee,Lower Peshastin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead",Spawning and Incubation,"Bank Stability,Channel Stability,Stability,Cover- Wood,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2184
White River Lower 08,Wenatchee,Lower White River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Bull Trout",Spawning and Incubation,"Off-Channel- Side-Channels,Pool Quantity and Quality,Brook Trout","Cover- Wood,Riparian-Canopy Cover,PRCNT Fines and Embeddedness,Temperature- Adult Spawning","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2185
Peshastin Creek Lower 03,Wenatchee,Lower Peshastin Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead",Spawning and Incubation,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Stability,Stability,Pool Quantity and Quality,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2186
Peshastin Creek Lower 05,Wenatchee,Lower Peshastin Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead",Spawning and Incubation,"Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2187
Peshastin Creek Lower 06,Wenatchee,Lower Peshastin Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead",Spawning and Incubation,"Flow- Summer Base Flow,Floodplain Connectivity,Temperature- Rearing","Channel Stability,Coarse Substrate,Cover- Wood,Pool Quantity and Quality,Riparian-Canopy Cover,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2188
Peshastin Creek Lower 07,Wenatchee,Lower Peshastin Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead",Spawning and Incubation,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Coarse Substrate,Off-Channel- Side-Channels,Pool Quantity and Quality,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2189
Chumstick Creek 01,Wenatchee,Chumstick Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,PRCNT Fines and Embeddedness,Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2190
Chumstick Creek 03,Wenatchee,Chumstick Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,PRCNT Fines and Embeddedness,No At-Risk Limiting Factors,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2191
Chumstick Creek 04,Wenatchee,Chumstick Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,PRCNT Fines and Embeddedness,No At-Risk Limiting Factors,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2192
Chumstick Creek 07,Wenatchee,Chumstick Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,PRCNT Fines and Embeddedness,Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2193
Hansel Creek 01,Wenatchee,Lower Peshastin Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,No Unacceptable Limiting Factors,Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2194
Peshastin Creek Upper 01,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,No Unacceptable Limiting Factors,Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2195
Peshastin Creek Upper 02,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,No Unacceptable Limiting Factors,Coarse Substrate,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2196
Sunitsch Canyon 01,Wenatchee,Chumstick Creek,Address Limiting Factors,Not Ranked,Steelhead,Spawning and Incubation,PRCNT Fines and Embeddedness,No At-Risk Limiting Factors,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2197
White River Lower 01,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2198
White River Lower 02,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2199
White River Lower 03,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2200
White River Lower 04,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2201
White River Lower 05,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,"PRCNT Fines and Embeddedness,Brook Trout","Coarse Substrate,Temperature- Adult Spawning","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management, Water Quality Improvement",27.Jan.2202
White River Lower 06,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2203
White River Lower 07,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2204
White River Lower 09,Wenatchee,Lower White River,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout",Spawning and Incubation,Brook Trout,Temperature- Adult Spawning,"Brook Trout Management, Water Quality Improvement",27.Jan.2205
Peshastin Creek Upper 04,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,Adult Migration,BT Natal Rearing","Brook Trout,Cover- Wood,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2206
Peshastin Creek Upper 05,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,Adult Migration,BT Natal Rearing","Brook Trout,Cover- Wood,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2207
Peshastin Creek Upper 06,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,Adult Migration,BT Natal Rearing","Brook Trout,Cover- Wood,Temperature- Rearing","PRCNT Fines and Embeddedness,Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2208
Peshastin Creek Upper 08,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,Adult Migration,BT Natal Rearing","Flow- Summer Base Flow,Brook Trout,Temperature- Rearing","Coarse Substrate,Cover- Wood,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2209
Peshastin Creek Upper 09,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,Adult Migration,BT Natal Rearing","Flow- Summer Base Flow,Brook Trout","Coarse Substrate,Cover- Wood,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2210
Tronsen Creek 01,Wenatchee,Upper Peshastin Creek,Address Limiting Factors,Not Ranked,"Steelhead, Bull Trout","Spawning and Incubation,Adult Migration,BT Natal Rearing",Temperature- Rearing,"Coarse Substrate,Flow- Summer Base Flow","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2211
Nason Creek Upper 01,Wenatchee,Upper Nason Creek,"Restore Reach Function, Address Limiting Factors",1,Bull Trout,"Spawning and Incubation,BT Natal Rearing","Temperature- Rearing,Brook Trout","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2212
Chikamin Creek 01,Wenatchee,Chikamin Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing","Brook Trout,Temperature- Rearing","PRCNT Fines and Embeddedness,Cover- Wood","Bank Restoration, Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2213
Chikamin Creek 02,Wenatchee,Chikamin Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing",Brook Trout,No At-Risk Limiting Factors,Brook Trout Management,27.Jan.2214
Chikamin Creek 03,Wenatchee,Chikamin Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing",Brook Trout,Cover- Wood,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2215
Chikamin Creek 04,Wenatchee,Chikamin Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing",Brook Trout,No At-Risk Limiting Factors,Brook Trout Management,27.Jan.2216
Eight Mile Creek 01,Methow,Eight Mile Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing",Brook Trout,Coarse Substrate,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2217
Nason Creek Upper 02,Wenatchee,Upper Nason Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing","Brook Trout,Floodplain Connectivity,Temperature- Rearing",Cover- Wood,"Brook Trout Management, Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2218
Nason Creek Upper 03,Wenatchee,Upper Nason Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing","Brook Trout,Temperature- Rearing","Cover- Wood,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2219
Nason Creek Upper 04,Wenatchee,Upper Nason Creek,Address Limiting Factors,Not Ranked,Bull Trout,"Spawning and Incubation,BT Natal Rearing","Brook Trout,Temperature- Rearing","Cover- Wood,Floodplain Connectivity","Brook Trout Management, Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2220
